Player,Drafted (tm/rnd/yr),Player-additional
Patrick Surtain,Denver Broncos / 1st / 9th pick / 2021,SurtPa01
Jovan Swann,,-9999
Tim Tanner-Blair,,-9999
Keith Taylor,Carolina Panthers / 5th / 166th pick / 2021,TaylKe03
Tamorrion Terry,,TerrTa00
Kiondre Thomas,,-9999
Ambry Thomas,San Francisco 49ers / 3rd / 102nd pick / 2021,ThomAm00
Zac Thomas,,ThomZa03
Tyree Thompson,,ThomTy02
Kevin Thomson,,ThomKe05
Tommy Togiai,Cleveland Browns / 4th / 132nd pick / 2021,TogiTo00
Jet Toner,,-9999
Kadarius Toney,New York Giants / 1st / 20th pick / 2021,ToneKa00
Shaka Toney,Washington Football Team / 7th / 246th pick / 2021,ToneSh00
Khyiris Tonga,Chicago Bears / 7th / 250th pick / 2021,TongKh00
Kyle Trask,Tampa Bay Buccaneers / 2nd / 64th pick / 2021,TrasKy00
Tommy Tremble,Carolina Panthers / 3rd / 83rd pick / 2021,TremTo00
Harry Trotter,,-9999
Joe Tryon,Tampa Bay Buccaneers / 1st / 32nd pick / 2021,TryoJo00
Israel Tucker,,-9999
Carl Tucker,,TuckCa01
Ethan Tucky,,-9999
Jay Tufele,Jacksonville Jaguars / 4th / 106th pick / 2021,TufeJa00
Syrus Tuitele,,TuitSy00
Payton Turner,New Orleans Saints / 1st / 28th pick / 2021,TurnPa02
Christian Tutt,,-9999
Jaylen Twyman,Minnesota Vikings / 6th / 199th pick / 2021,TwymJa00
Evan Tyler,,-9999
Tyler Vaughns,,VaugTy00
Alijah Vera-Tucker,New York Jets / 1st / 14th pick / 2021,VeraAl00
Gunnar Vogel,,-9999
Lamont Wade,,WadeLa00
Shaun Wade,Baltimore Ravens / 5th / 160th pick / 2021,WadeSh00
Tre Walker,,WalkTr02
Tylan Wallace,Baltimore Ravens / 4th / 131st pick / 2021,WallTy00
Garret Wallow,Houston Texans / 5th / 170th pick / 2021,WallGa00
Ar'Darius Washington,,WashAr00
Jamar Watson,,WatsJa01
Rashad Weaver,Tennessee Titans / 4th / 135th pick / 2021,WeavRa00
Mark Webb,Los Angeles Chargers / 7th / 241st pick / 2021,WebbMa01
Connor Wedington,,-9999
Coby Weiss,,-9999
Pro Wells,,WellPr00
Pete Werner,New Orleans Saints / 2nd / 60th pick / 2021,WernPe00
Devon Wharton,,-9999
Jarell White,,-9999
Brendon White,,-9999
Brady White,,WhitBr00
Haydon Whitehead,,-9999
James Wiggins,Arizona Cardinals / 7th / 243rd pick / 2021,WiggJa00
Rachad Wildgoose,Buffalo Bills / 6th / 213th pick / 2021,WildRa00
Drew Wiley,,-9999
Adam Williams,,-9999
Carson Williams,,-9999
Avery Williams,Atlanta Falcons / 5th / 183rd pick / 2021,WillAv02
Javonte Williams,Denver Broncos / 2nd / 35th pick / 2021,WillJa10
Marlon Williams,,WillMa11
Milton Williams,Philadelphia Eagles / 3rd / 73rd pick / 2021,WillMi08
Pooka Williams,,WillPo01
Rodarius Williams,New York Giants / 6th / 201st pick / 2021,WillRo07
Seth Williams,Denver Broncos / 6th / 219th pick / 2021,WillSe00
Trill Williams,,WillTr07
Marco Wilson,Arizona Cardinals / 4th / 136th pick / 2021,WilsMa04
Marvin Wilson,,WilsMa05
Zach Wilson,New York Jets / 1st / 2nd pick / 2021,WilsZa00
Brock Wright,,-9999
Nahshon Wright,Dallas Cowboys / 3rd / 99th pick / 2021,WrigNa00
Kenny Yeboah,,YeboKe00
Devonte Young,,-9999
Landon Young,New Orleans Saints / 6th / 206th pick / 2021,YounLa00
